ProfileDescription,Compression,TimeStamp,ApertureValue,HandlerType,GeneralLevelIDC,ImageSize,AEAverage,ConnectionSpaceIlluminant,GenProfileCompatibilityFlags,HDRGain,MinSpatialSegmentationIDC,Megapixels,RunTimeEpoch,StoredFormat,Rotation,ProfileCopyright,GPSLatitudeRef,ShutterSpeedValue,ChromaticAdaptation,EncodingProcess,ProfileDescriptionML-zh-CN,ProfileDescriptionML-ko-KR,ExifToolVersion,BlueMatrixColumn,RegionAreaX,SourceFile,ProfileDescriptionML-es-ES,CMMFlags,OffsetTimeOriginal,ExifImageWidth,RegionAreaY,RunTimeSincePowerUp,NumTemporalLayers,FocusPosition,ProfileClass,ThumbnailLength,FlashpixVersion,FocalLength35efl,ProfileDescriptionML-pt-PO,ProfileDescriptionML-fi-FI,ProfileDescriptionML-el-GR,Filtered,RegionAreaUnit,RegionExtensionsAngleInfoRoll,MinorVersion,AuxiliaryImageSubType,AFMeasuredDepth,MPImageFormat,ConstraintIndicatorFlags,WhiteBalance,GeneralTierFlag,GrayTRC,PortraitEffectsMatteVersion,IntrinsicMatrix,ProfileDescriptionML-tr-TR,GPSDestBearingRef,NativeFormat,RunTimeScale,AuxiliaryImageType,FocalLength,HEVCConfigurationVersion,ProfileDescriptionML-cs-CZ,RegionExtensions,LensDistortionCoefficients,DeviceModel,ISO,DeviceManufacturer,GPSDateStamp,ProfileDescriptionML,MajorBrand,AFConfidence,LensModel,MIMEType,EffectStrength,PrimaryPlatform,SubSecDateTimeOriginal,ProfileCreator,HDRHeadroom,FileInodeChangeDate,FileName,Directory,OffsetTime,ThumbnailOffset,GPSTimeStamp,AFPerformance,ColorProfiles,Accuracy,GPSAltitudeRef,DateCreated,ProfileDescriptionML-da-DK,SceneCaptureType,GreenMatrixColumn,DirectoryItemLength,MPImageType,GPSLatitude,SensingMethod,DepthMapTiff,CompositeImage,ResolutionUnit,YResolution,RegionType,LensID,ProfileID,OffsetTimeDigitized,ProfileDescriptionML-th-TH,ImageCaptureType,ProfileDescriptionML-it-IT,YCbCrPositioning,EmbeddedImage,ImagePixelDepth,ProfileDescriptionML-ca-ES,PixelSize,DeviceAttributes,File Name,MeteringMode,IntrinsicMatrixReferenceHeight,RenderingIntent,Luminance,DependentImage1EntryNumber,SimulatedAperture,SceneType,ProfileDescriptionML-uk-UA,ProfileDescriptionML-ja-JP,IntMaxValue,FNumber,ExposureTime,AccelerationVector,ProfileDescriptionML-ru-RU,FileType,ProfileDescriptionML-hr-HR,EmbeddedImageName,FileSize,LensDistortionCenterOffsetX,FocusDistanceRange,ProfileDescriptionML-vi-VN,ExposureMode,RunTimeFlags,GPSDestBearing,ContentIdentifier,GPSAltitude,ParallelismType,HostComputer,ProfileCMMType,RegionAppliedToDimensionsUnit,ProfileFileSignature,GPSHPositioningError,ExifVersion,RegionAppliedToDimensionsH,ProfileDescriptionML-hu-HU,MPFVersion,MediaDataOffset,RunTimeValue,ColorSpace,ProfileConnectionSpace,ExposureCompensation,XMPToolkit,Software,AToB0,LuminanceNoiseAmplitude,LensDistortionCenterOffsetY,MakerNoteVersion,RedTRC,ProfileDescriptionML-ro-RO,ColorTemperature,RegionAreaH,BitsPerSample,ProfileDescriptionML-he-IL,CustomRendered,ProfileDescriptionML-pt-BR,SubjectArea,SemanticSegmentationMatteVersion,MPImage2,BrightnessValue,SubSecTimeDigitized,LensInfo,AFStable,SubSecTime,VideoFullRangeFlag,FileTypeExtension,SubSecTimeOriginal,ExifImageHeight,MediaDataSize,GeneralProfileSpace,MPImageStart,FloatMaxValue,RegionExtensionsAngleInfoYaw,ColorComponents,DepthDataVersion,ProfileDescriptionML-sk-SK,DepthMapData,Make,MCCData,GPSPosition,ExifByteOrder,ProfileDescriptionML-de-DE,MPImageFlags,Version,GeneralProfileIDC,ModifyDate,RegionAreaW,RegionAppliedToDimensionsW,IntrinsicMatrixReferenceWidth,GPSLongitude,GPSLongitudeRef,NumberOfImages,Orientation,DirectoryItemSemantic,ColorSpaceData,PhotosAppFeatureFlags,CompatibleBrands,ShutterSpeed,BToA0,SubSecModifyDate,AverageFrameRate,HDGainMapInfo,MatrixCoefficients,GPSSpeed,CreateDate,Quality,ProfileDescriptionML-nl-NL,RegionExtensionsConfidenceLevel,InverseLensDistortionCoefficients,ExtrinsicMatrix,YCbCrSubSampling,ConstantFrameRate,DepthMapWidth,TemporalIDNested,RedMatrixColumn,MetaImageSize,DigitalZoomRatio,DepthMapHeight,ColorPrimaries,GPSImgDirection,ExposureProgram,ChromaFormat,FocalLengthIn35mmFormat,AETarget,PrimaryItemReference,GreenTRC,LivePhotoVideoIndex,ProfileVersion,FOV,RenderingParameters,ImageSpatialExtent,BitDepthChroma,CameraType,ProfileDescriptionML-pl-PL,FilePermissions,XResolution,ImageWidth,Aperture,DirectoryItemMime,ProfileDescriptionML-nb-NO,CreatorTool,MPImageLength,DepthMapName,ProfileDescriptionML-fr-FU,BlueTRC,SignalToNoiseRatio,ImageHeight,CircleOfConfusion,PhotoIdentifier,TransferCharacteristics,ProfileDateTime,HDRGainMapVersion,ProfileDescriptionML-sv-SE,FileModifyDate,FileAccessDate,FloatMinValue,DateTimeOriginal,LensMake,RegionExtensionsFaceID,ImageUniqueID,SubSecCreateDate,ProfileDescriptionML-ar-EG,MediaWhitePoint,ThumbnailImage,AEStable,Flash,IntMinValue,BitDepthLuma,MaxApertureValue,DependentImage2EntryNumber,GPSSpeedRef,HyperfocalDistance,LightValue,ScaleFactor35efl,GPSDateTime,GPSImgDirectionRef,HDRGainMapHeadroom,ProfileDescriptionML-zh-TW,Model
DCI-P3 D65 Gamut with sRGB Transfer,JPEG (old-style),2024:09:20 11:41:52.526+09:00,1.7,,,4000x3000,,0.9642 1 0.82491,,,,12.0,,,,"Copyright (c) 2022 Samsung Electronics Co., Ltd.",North,1,1.04781 0.02289 -0.05013 0.02954 0.99048 -0.01704 -0.00923 0.01505 0.75214,"Baseline DCT, Huffman coding",,,13.1,0.15718 0.06659 0.78455,,./1/20240920_114152.jpg,,"Not Embedded, Independent",+09:00,4000,,,,,Display Device Profile,58023,0100,6.3 mm (35 mm equivalent: 23.0 mm),,,,,,,,,,JPEG,,Auto,,,,,,,,,,6.3 mm,,,,,,16,Unknown (SEC),,,,,,image/jpeg,,Unknown (SEC),2024:09:20 11:41:52.526+09:00,Unknown (SEC),,2025:01:26 18:38:17+09:00,20240920_114152.jpg,./1,+09:00,1016,,,,,Above Sea Level,,,Standard,0.29195 0.69223 0.04189,148128,Undefined,"37 deg 30' 48.74"" N",,,,inches,72,,,0,,,,,Centered,,,,,"Reflective, Glossy, Positive, Color",20240920_114152.jpg,Spot,,Perceptual,,0,,,,,,1.7,1/180,,,JPEG,,,5.5 MB,,,,Auto,,,,46 m Above Sea Level,,,,,acsp,,0220,,,0100,,,Uncalibrated,XYZ ,0,Adobe XMP Core 5.1.2,S928NKSU3AXH7,,,,,"(Binary data 32 bytes, use -b option to extract)",,,,8,,,,,,"(Binary data 148128 bytes, use -b option to extract)",6.92,526,,,526,,jpg,526,3000,,,5339618,,,3,,,,samsung,South Korea (450),"37 deg 30' 48.74"" N, 127 deg 3' 34.78"" E","Little-endian (Intel, II)",,(none),1.0,,2024:09:20 11:41:52,,,,"127 deg 3' 34.78"" E",East,2,Rotate 90 CW,"['Primary', 'GainMap']",RGB ,,,1/180,,2024:09:20 11:41:52.526+09:00,,,,,2024:09:20 11:41:52,,,,,,YCbCr4:2:0 (2 2),,,,0.51508 0.24117 -0.00105,,1,,,,Program AE,,23 mm,,,"(Binary data 32 bytes, use -b option to extract)",,4.3.0,76.1 deg,,,,,,-rwx------,72,4000,1.7,"['image/jpeg', 'image/jpeg']",,,148128,,,"(Binary data 32 bytes, use -b option to extract)",,3000,0.008 mm,,,2022:07:01 00:00:00,,,2024:09:20 11:41:54+09:00,2025:01:26 19:03:57+09:00,,2024:09:20 11:41:52,,,HK0XLQE00SM,2024:09:20 11:41:52.526,,0.9642 1 0.82491,"(Binary data 58023 bytes, use -b option to extract)",,No Flash,,,1.7,0,,2.84 m,11.7,3.7,,,,,Galaxy S24 Ultra
DCI-P3 D65 Gamut with sRGB Transfer,JPEG (old-style),2024:09:20 14:44:15.629+09:00,3.4,,,4000x3000,,0.9642 1 0.82491,,,,12.0,,,,"Copyright (c) 2022 Samsung Electronics Co., Ltd.",North,1,1.04781 0.02289 -0.05013 0.02954 0.99048 -0.01704 -0.00923 0.01505 0.75214,"Baseline DCT, Huffman coding",,,13.1,0.15718 0.06659 0.78455,,./1/20240920_144415.jpg,,"Not Embedded, Independent",+09:00,4000,,,,,Display Device Profile,56741,0100,18.6 mm (35 mm equivalent: 115.0 mm),,,,,,,,,,JPEG,,Auto,,,,,,,,,,18.6 mm,,,,,,1250,Unknown (SEC),,,,,,image/jpeg,,Unknown (SEC),2024:09:20 14:44:15.629+09:00,Unknown (SEC),,2025:01:26 18:37:34+09:00,20240920_144415.jpg,./1,+09:00,996,,,,,Above Sea Level,,,Standard,0.29195 0.69223 0.04189,34737,Undefined,"37 deg 30' 38.18"" N",,,,inches,72,,,0,,,,,Centered,,,,,"Reflective, Glossy, Positive, Color",20240920_144415.jpg,Center-weighted average,,Perceptual,,0,,,,,,3.4,1/30,,,JPEG,,,4.0 MB,,,,Auto,,,,41 m Above Sea Level,,,,,acsp,,0220,,,0100,,,Uncalibrated,XYZ ,0,Adobe XMP Core 5.1.2,S928NKSU3AXH7,,,,,"(Binary data 32 bytes, use -b option to extract)",,,,8,,,,,,"(Binary data 34737 bytes, use -b option to extract)",,629,,,629,,jpg,629,3000,,,4011092,,,3,,,,samsung,South Korea (450),"37 deg 30' 38.18"" N, 127 deg 3' 34.70"" E","Little-endian (Intel, II)",,(none),1.0,,2024:09:20 14:44:15,,,,"127 deg 3' 34.70"" E",East,2,Rotate 90 CW,"['Primary', 'GainMap']",RGB ,,,1/30,,2024:09:20 14:44:15.629+09:00,,,,,2024:09:20 14:44:15,,,,,,YCbCr4:2:0 (2 2),,,,0.51508 0.24117 -0.00105,,5,,,,Program AE,,115 mm,,,"(Binary data 32 bytes, use -b option to extract)",,4.3.0,17.8 deg,,,,,,-rwx------,72,4000,3.4,"['image/jpeg', 'image/jpeg']",,,34737,,,"(Binary data 32 bytes, use -b option to extract)",,3000,0.005 mm,,,2022:07:01 00:00:00,,,2024:09:20 14:44:17+09:00,2025:01:26 19:03:57+09:00,,2024:09:20 14:44:15,,,H50XSQE00SM,2024:09:20 14:44:15.629,,0.9642 1 0.82491,"(Binary data 56741 bytes, use -b option to extract)",,No Flash,,,3.4,0,,20.94 m,4.8,6.2,,,,,Galaxy S24 Ultra
Display P3 Primaries; PQ (Gain Map Preview C7DDE554C87B2073),,,1.8,Picture,63 (level 2.1),5712x4284,177,0.9642 1 0.82491,"Main Still Picture, Main 10, Main",0.3876953125,0,24.5,0,L008,Horizontal (Normal),"Copyright Apple Inc., 2024",North,1/367,1.04788 0.02292 -0.0502 0.02959 0.99048 -0.01706 -0.00923 0.01508 0.75168,,,,13.1,0.1571 0.06657 0.78407,0.62623809523809526,./1/IMG_0011.HEIC,,"Not Embedded, Independent",+09:00,5712,0.54800000000000004,1:50:21,1,69,Display Device Profile,,,6.8 mm (35 mm equivalent: 24.0 mm),,,,True,normalized,,0.0.0,portraiteffectsmatte,130,,176 0 0 0 0 0,Auto,Main Tier,"(Binary data 14 bytes, use -b option to extract)",65537,"[2811.460205078125, 0.0, 0.0, 0.0, 2811.460205078125, 0.0, 2027.2255859375, 1502.489990234375, 1]",,True North,hdis,1000000000,urn:mpeg:hevc:2015:auxid:2,6.8 mm,1,,,"[0.0, '-0.59891879558563232', '0.053872086107730865', '-0.0018906649202108383', -5.191986019781325e-06, 2.1051059775345493e-06, -5.044282858079896e-08, 3.6998842878332994e-10]",,100,Apple Computer Inc.,2024:09:20,,High Efficiency Image Format HEVC still image (.HEIC),75,iPhone 16 Pro Max back triple camera 6.765mm f/1.78,image/heic,0.5,Apple Computer Inc.,2024:09:20 11:40:52.100+09:00,Apple Computer Inc.,1.00999999,2025:01:26 18:38:17+09:00,IMG_0011.HEIC,./1,+09:00,,02:40:51,250 1 24,nclx,relative,Above Sea Level,2024:09:20 11:40:52,,,0.29198 0.69225 0.04189,,,"37 deg 30' 48.11"" N",One-chip color area,,General Composite Image,inches,72,Focus,iPhone 16 Pro Max back triple camera 6.765mm f/1.78,eb8775727b5c530e1ed7960af15549db,+09:00,,Scene,,,,10 10 10,,0.00244,"Reflective, Glossy, Positive, Color",IMG_0011.HEIC,Spot,3024,Perceptual,0 100 0,,2.8,Directly photographed,,,255,1.8,1/367,-0.05099127438 -0.9760773785 0.1814272553,,HEIC,,,4.8 MB,2027.70166015625,0.62 - 1.00 m,,Auto,Valid,298.868866,3E522B16-897F-4063-A134-797F9E3A159F,23.5 m Above Sea Level,0,iPhone 16 Pro Max,Apple Computer Inc.,pixel,acsp,14.24595459 m,0232,4284,,,23134,6621378045041,Uncalibrated,XYZ ,0,XMP Core 6.0.0,18.0,"(Binary data 6412 bytes, use -b option to extract)",0.01089230739,1505.952392578125,15,"(Binary data 32 bytes, use -b option to extract)",,5826,0.15800000000000003,,,,,3348 2128 1059 1062,65536,,5.693526046,100,2.220000029-15.65999985mm f/1.779999971-2.8,Yes,,Full,heic,100,4284,4758101,Conforming,,1.168945,,,65541,,,Apple,,"37 deg 30' 48.11"" N, 127 deg 3' 34.59"" E","Big-endian (Motorola, MM)",,,,Main Still Picture,2024:09:20 11:40:52,0.11838095238095236,5712,4032,"127 deg 3' 34.59"" E",East,,Rotate 90 CW,,RGB ,1,"['mif1', 'MiHB', 'MiHA', 'heix', 'MiHE', 'MiPr', 'heic', 'miaf', 'tmap']",1/367,"(Binary data 6412 bytes, use -b option to extract)",2024:09:20 11:40:52+09:00,0,"(Binary data 218 bytes, use -b option to extract)",Identity matrix,0.02098014876,2024:09:20 11:40:52,high,,,"[0.0, '0.58943438529968262', '-0.050920534878969193', '0.001690856646746397', 8.532961146556772e-06, -2.0013517314509954e-06, 4.684766352625047e-08, -3.468750009449906e-10]","[1, 0.0, 0.0, 0.0, 1, 0.0, 0.0, 0.0, 1, 0.0, 0.0, 0.0]",,Unknown,,No,0.51512 0.2412 -0.00105,5712x4284 0 516 2856 2142 0 1287 4096 3072 0 0 64 0 0 15 16960 33 22859 15 16960 65527 9746 15 16960 33 22859 15 16960 16 6112 15 16960 0 10 15 16960 0 10 15 16960,,,SMPTE EG 432-1,298.868866,Program AE,4:2:0,24 mm,168,46,"(Binary data 32 bytes, use -b option to extract)",8595224612,4.0.0,73.7 deg,UkVORAcAAABIBQAAAQAAAGQAAgAAAAAAZQACAAIAAABmAAEAj8L1PGcAAQDNzMw9aAABAArXIz1pAAEAMzOzP2oAAQDNzEw9awABAJqZmT5sAAEAzczMP20AAQAAAABAbgACABQAAABvAAEAzcxMPXAAAQBYOTQ8cQABAArXIzxyAAEAzczMPXMAAQAK1yM9dAABAAAAgD91AAEAAABAP3YAAQBmZmY/dwABAJqZmT94AAEAAAAAQHkAAQDNzMw+egABAM3MzD17AAEAAACAP3wAAQAAAABAfQABAAAAAEF+AAEAF7fROH8AAgAyAAAAgAABAAAAgD/IAAEAPQoXP8kAAQAAAEA/ygABAPfMEjksAQEACtcjPC0BAQAXSJI5LgEBADVeuj0vAQEAMzOzPzABAQDgLRA7MQEBAFoMQzoyAQEAAACAPzMBAQAAAIA/kAECAAAAAACRAQEAZ01/OpIBAQANej89kwEBAGdNfzqUAQEAQmBlO5UBAQCZuxY8lgEBAGZmZj+XAQEAAACAP5gBAQAAAAAAmQEBAM3MTD7CAQEAZ03/PMMBAQBgkJ89xAEBAHEuGTvFAQEAWJGRQMYBAQAzM5tA8gECAAkAAADzAQIADAAAAPQBAgAJAAAA9QEBAAAAekT2AQEAmpkZPvcBAQBSuJ4++AEBAAAAAED5AQEAAMAPRfoBAQDNzEw9+wEBADMzsz78AQIAAgAAAP0BAQApXI8+/gEBAKRwnT//AQEAZmZmPwACAgAGAAAAAQIBAAAAgD8CAgEAAAAAAFgCAQAzMzNAWQIBADMzsz9aAgEAAACAQVsCAQDsUbg/vAIBAAAAAAC9AgEAAAAAACADAgADAAAAIQMBAM3MTL0iAwEACtejPCMDAQDNzEy9JAMBAI/C9T2EAwEAzcxMP4UDAQAAAIA/hgMBAAAAAACHAwEAAAAAAIgDAQDNzMw+iQMBAOAtkDroAwEAmpmZPukDAQAAAKBA6gMBAJqZmT7rAwEAzcxMP+wDAQAAAAAA7QMBAAAAgD/uAwEAMzMzv+8DAQBmZmY/8AMBAI/C9TzxAwEAbxKDOvIDAQAAAAAA8wMCAIcAAAD0AwEAzczMPvUDAQAAAIA/9gMCABQAAAD3AwEAzczMPvgDAQAAAAAA+QMBAM3MTD/6AwEAAACAP/sDAQAAAAAA/AMBAM3MTD79AwEAAAAAAP4DAQAAAAAA/wMBAM3MzD8ABAIAAgAAAAEEAQAAAAAAAgQBAG8SAzoDBAEAmplZPwQEAQAAAAAABQQBAAAAgD8GBAEAzcxMPwcEAQCamZk+CAQBAAAAAEAJBAEAexQuPgoEAQAzM7M+CwQBAAAAgD8MBAEAAAAAAA0EAQCamZk+DgQBAM3MzD0PBAEAzcxMPkwEAQBmZuY+TQQBAAAAAABOBAEAAAAAAE8EAQDNzMw9UAQBAGZmZj+wBAIACQAAALEEAgAEAAAAsgQCAAwAAACzBAEAAACAP7QEAQAAAIA/tQQBAD0K1z62BAEAAABAP7cEAQAAAADAuAQBAAAAAAC5BAEAAACAv7oEAQCamRk+uwQBAM3MzD28BAEAmpmZP70EAQBcj8I+vgQCAAQAAAAUBQEAFK6HPhUFAQC/fV0+FgUBAPT9VDwXBQEAj8L1PBgFAQDD9Wg/GQUBAKabRD0aBQEAbxIDOhsFAQBfKUs7HAUBAPYoHD8dBQEAzczMPB4FAQAK1yM8HwUBADMzM0AgBQEAMzMzPyEFAQAXt9E6IgUBAI/C9TwjBQEAZmZmPyQFAQCamZk+JQUBAAAAwD8=,5712x4284,8,Back Normal,,-rwx------,72,5712,1.8,,,18.0,,,,"(Binary data 32 bytes, use -b option to extract)",50.80724334,4284,0.008 mm,CBA1E78B-200E-456B-8A53-D380F6C19B77,"SMPTE ST 2084, ITU BT.2100 PQ",2024:01:01 00:00:00,0.2.0.0,,2024:09:20 11:48:37+09:00,2025:01:26 19:14:36+09:00,0.0,2024:09:20 11:40:52,Apple,,,2024:09:20 11:40:52.100+09:00,,0.96419 1 0.82489,,Yes,"Off, Did not fire",0,8,,,km/h,3.04 m,10.2,3.5,2024:09:20 02:40:51Z,True North,4.548992,,iPhone 16 Pro Max
